,,,
,,,
,Threat_Description,Ref_ID,Mitigation
,Abuse of privileges by staff (insider attack),1.1,Security Controls are applied to back-end systems to minimise the risk of insider attack
,"Unauthorized internet access to the server (enabled for example by backdoors, unpatched system software vulnerabilities, SQL attacks or other means)",1.2,Security Controls are applied to back-end systems to minimise unauthorised access. Example Security Controls can be found in OWASP
,Unauthorized physical access to the server (conducted by for example USB sticks or other media connecting to the server),1.3,Through system design and access control it should not be possible for unauthorised personnel to access personal or system critical data
,"Attack on back-end server stops it functioning, for example it prevents it from interacting with vehicles and providing services they rely on",2.1,Security Controls are applied to back-end systems. Where back-end servers are critical to the provision of services there are recovery measures in case of system outage. Example Security Controls can be found in OWASP
,Abuse of privileges by staff (insider attack),3.1,Security Controls are applied to back-end systems to minimise the risk of insider attack
,Loss of information in the cloud. Sensitive data may be lost due to attacks or accidents when data is stored by third-party cloud service providers,3.2,Security Controls are applied to minimise risks associated with cloud computing. Example Security Controls can be found in OWASP and NCSC cloud computing guidance
,"Unauthorized internet access to the server (enabled for example by backdoors, unpatched system software vulnerabilities, SQL attacks or other means)",3.3,Security Controls are applied to back-end systems to minimise unauthorised access. Example Security Controls can be found in OWASP
,Unauthorized physical access to the server (conducted for example by USB sticks or other media connecting to the server),3.4,Through system design and access control it should not be possible for unauthorised personnel to access personal or system critical data
,Information breach by unintended sharing of data (e.g. admin errors),3.5,Security Controls are applied to back-end systems to prevent data breaches. Example Security Controls can be found in OWASP
,"Spoofing of messages by impersonation (e.g.802.11p V2X during platooning, GNSS messages,etc.)",4.1,The vehicle shall verify the authenticity and integrity of messages it receives
,Sybil attack (in order to spoof other vehicles as if there are many vehicles on the road),4.2,"Security controls shall be implemented for storing cryptographic keys (e.g., use of Hardware Security Modules)"
,"Communications channels permit code injection, for example tampered software binary might be injected into the communication stream",5.1,The vehicle shall verify the authenticity and integrity of messages it receives 
,Communications channels permit manipulate of vehicle held data/code,5.2,Access control techniques and designs shall be applied to protect system data/code
,Communications channels permit overwrite of vehicle held data/code,5.3,Access control techniques and designs shall be applied to protect system data/code
,Communications channels permit erasure of vehicle held data/code,5.4,Access control techniques and designs shall be applied to protect system data/code
,Communications channels permit introduction of data/code to the vehicle (write data code),5.5,Access control techniques and designs shall be applied to protect system data/code
,Accepting information from an unreliable or untrusted source,6.1,The vehicle shall verify the authenticity and integrity of messages it receives
,Man in the middle attack/ session hijacking,6.2,The vehicle shall verify the authenticity and integrity of messages it receives
,"Replay attack, for example an attack against a communication gateway allows the attacker to downgrade software of an ECU or firmware of the gateway",6.3,The vehicle shall verify the authenticity and integrity of messages it receives
,Interception of information / interfering radiations / monitoring communications,7.1,Confidential data transmitted to or from the vehicle shall be protected
,Gaining unauthorized access to files or data,7.2,Through system design and access control it should not be possible for unauthorized personnel to access personal or system critical data. Example of Security Controls can be found in OWASP
,"Sending a large number of garbage data to vehicle information system, so that it is unable to provide services in the normal manner",8.1,Measures to detect and recover from a denial of service attack shall be employed
